0	In             	O               	[NA]                	[0]
1	parked         	B-MOTION        	[trajector]         	[4]
2	the            	O               	[NA]                	[2]
3	car            	B-SPATIAL_ENTITY	[mover]             	[1]
4	in             	B-SPATIAL_SIGNAL	[NA]                	[4]
5	a              	O               	[NA]                	[5]
6	small          	O               	[NA]                	[6]
7	field          	B-PLACE         	[landmark, landmark]	[8, 4]
8	where          	B-SPATIAL_SIGNAL	[NA]                	[8]
9	we             	B-SPATIAL_ENTITY	[mover]             	[11]
10	could          	O               	[NA]                	[10]
11	turn           	B-MOTION        	[trajector]         	[8]
12	.              	O               	[NA]                	[12]


0	We             	B-SPATIAL_ENTITY	[mover, mover]      	[1, 11]
1	drove          	B-MOTION        	[NA]                	[1]
2	to             	B-MOTION_SIGNAL 	[NA]                	[2]
3	the            	I-MOTION_SIGNAL 	[NA]                	[3]
4	NE             	I-MOTION_SIGNAL 	[NA]                	[4]
5	on             	B-MOTION_SIGNAL 	[NA]                	[5]
6	the            	O               	[NA]                	[6]
7	11             	B-PATH          	[NA]                	[7]
8	main           	I-PATH          	[NA]                	[8]
9	road           	I-PATH          	[NA]                	[9]
10	and            	O               	[NA]                	[10]
11	turned         	B-MOTION        	[trajector]         	[13]
12	NW             	B-MOTION_SIGNAL 	[NA]                	[12]
13	at             	B-SPATIAL_SIGNAL	[NA]                	[13]
14	Cernat         	B-PLACE         	[landmark]          	[13]
15	(              	O               	[NA]                	[15]
16	Csernáton      	B-PLACE         	[NA]                	[16]
17	)              	O               	[NA]                	[17]
18	.              	O               	[NA]                	[18]


0	This           	O               	[NA]                	[0]
1	area           	O               	[NA]                	[1]
2	is             	O               	[NA]                	[2]
3	a              	O               	[NA]                	[3]
4	valley         	B-PATH          	[NA]                	[4]
5	of             	O               	[NA]                	[5]
6	a              	O               	[NA]                	[6]
7	small          	O               	[NA]                	[7]
8	creek          	B-PATH          	[locatedIn]         	[4]
9	.              	O               	[NA]                	[9]


0	(              	O               	[NA]                	[0]
1	picture        	O               	[NA]                	[1]
2	#              	O               	[NA]                	[2]
3	5              	O               	[NA]                	[3]
4	)              	O               	[NA]                	[4]
5	It             	B-PLACE         	[NA]                	[5]
6	is             	O               	[NA]                	[6]
7	725            	B-MEASURE       	[NA]                	[7]
8	meter          	I-MEASURE       	[NA]                	[8]
9	above          	O               	[NA]                	[9]
10	sea            	O               	[NA]                	[10]
11	level          	O               	[NA]                	[11]
12	.              	O               	[NA]                	[12]


0	After          	O               	[NA]                	[0]
1	a              	O               	[NA]                	[1]
2	short          	O               	[NA]                	[2]
3	tracking       	B-MOTION        	[NA]                	[3]
4	we             	B-SPATIAL_ENTITY	[mover]             	[3]
5	realized       	O               	[NA]                	[5]
6	that           	O               	[NA]                	[6]
7	there          	O               	[NA]                	[7]
8	was            	O               	[NA]                	[8]
9	no             	O               	[NA]                	[9]
10	path           	B-PATH          	[trajector, trajector]	[11, 12]
11	up             	B-SPATIAL_SIGNAL	[NA]                	[11]
12	to             	B-SPATIAL_SIGNAL	[NA]                	[12]
13	the            	O               	[NA]                	[13]
14	peak           	B-PLACE         	[landmark, landmark]	[11, 12]
15	except         	O               	[NA]                	[15]
16	for            	O               	[NA]                	[16]
17	some           	O               	[NA]                	[17]
18	animal         	O               	[NA]                	[18]
19	trails         	B-PATH          	[NA]                	[19]
20	.              	O               	[NA]                	[20]


0	The            	O               	[NA]                	[0]
1	ancient        	O               	[NA]                	[1]
2	name           	O               	[NA]                	[2]
3	of             	O               	[NA]                	[3]
4	the            	O               	[NA]                	[4]
5	county         	B-PLACE         	[NA]                	[5]
6	is             	O               	[NA]                	[6]
7	Háromszék      	B-PLACE         	[NA]                	[7]
8	and            	O               	[NA]                	[8]
9	Ikafalva       	B-PLACE         	[NA]                	[9]
10	(              	O               	[NA]                	[10]
11	Icafalău       	B-PLACE         	[NA]                	[11]
12	)              	O               	[NA]                	[12]
13	is             	O               	[NA]                	[13]
14	one            	O               	[NA]                	[14]
15	of             	O               	[NA]                	[15]
16	its            	O               	[NA]                	[16]
17	oldest         	O               	[NA]                	[17]
18	villages       	B-PLACE         	[NA]                	[18]
19	.              	O               	[NA]                	[19]


0	We             	B-SPATIAL_ENTITY	[NA]                	[0]
1	have           	O               	[NA]                	[1]
2	spent          	B-NONMOTION_EVENT	[trajector]         	[6]
3	the            	O               	[NA]                	[3]
4	Christmas      	O               	[NA]                	[4]
5	time           	O               	[NA]                	[5]
6	at             	B-SPATIAL_SIGNAL	[NA]                	[6]
7	Judit          	O               	[NA]                	[7]
8	’s             	O               	[NA]                	[8]
9	parents        	B-PLACE         	[landmark, trajector]	[6, 10]
10	in             	B-SPATIAL_SIGNAL	[NA]                	[10]
11	Sfântu         	B-PLACE         	[landmark]          	[10]
12	Gheorghe       	I-PLACE         	[NA]                	[12]
13	(              	O               	[NA]                	[13]
14	Sepsiszentgyörgy	B-PLACE         	[NA]                	[14]
15	)              	O               	[NA]                	[15]
16	,              	O               	[NA]                	[16]
17	capital        	B-PLACE         	[locatedIn]         	[19]
18	of             	O               	[NA]                	[18]
19	Covasna        	B-PLACE         	[NA]                	[19]
20	.              	O               	[NA]                	[20]


0	I              	B-SPATIAL_ENTITY	[NA]                	[0]
1	took           	O               	[NA]                	[1]
2	photos         	O               	[NA]                	[2]
3	to             	O               	[NA]                	[3]
4	the            	O               	[NA]                	[4]
5	four           	O               	[NA]                	[5]
6	winds          	O               	[NA]                	[6]
7	(              	O               	[NA]                	[7]
8	picture        	O               	[NA]                	[8]
9	#              	O               	[NA]                	[9]
10	1-4            	O               	[NA]                	[10]
11	)              	O               	[NA]                	[11]
12	and            	O               	[NA]                	[12]
13	from           	O               	[NA]                	[13]
14	the            	O               	[NA]                	[14]
15	team           	O               	[NA]                	[15]
16	also           	O               	[NA]                	[16]
17	.              	O               	[NA]                	[17]


0	Fortunately    	O               	[NA]                	[0]
1	we             	B-SPATIAL_ENTITY	[NA]                	[1]
2	had            	O               	[NA]                	[2]
3	good           	O               	[NA]                	[3]
4	satellite      	O               	[NA]                	[4]
5	signal         	O               	[NA]                	[5]
6	because        	O               	[NA]                	[6]
7	of             	O               	[NA]                	[7]
8	the            	O               	[NA]                	[8]
9	winter         	O               	[NA]                	[9]
10	.              	O               	[NA]                	[10]


0	26-Dec-2002    	O               	[NA]                	[0]
1	--             	O               	[NA]                	[1]
2	This           	O               	[NA]                	[2]
3	confluence     	B-PLACE         	[trajector]         	[9]
4	can            	O               	[NA]                	[4]
5	be             	O               	[NA]                	[5]
6	found          	O               	[NA]                	[6]
7	1,5            	B-MEASURE       	[NA]                	[7]
8	km             	I-MEASURE       	[NA]                	[8]
9	to             	B-SPATIAL_SIGNAL	[NA]                	[9]
10	the            	I-SPATIAL_SIGNAL	[NA]                	[10]
11	west           	I-SPATIAL_SIGNAL	[NA]                	[11]
12	from           	I-SPATIAL_SIGNAL	[NA]                	[12]
13	Icafalâu       	B-PLACE         	[trajector, landmark]	[17, 9]
14	(              	O               	[NA]                	[14]
15	Ikafalva       	B-PLACE         	[NA]                	[15]
16	)              	O               	[NA]                	[16]
17	in             	B-SPATIAL_SIGNAL	[NA]                	[17]
18	Covasna        	B-PLACE         	[landmark]          	[17]
19	county         	I-PLACE         	[NA]                	[19]
20	,              	I-PLACE         	[NA]                	[20]
21	Romania        	I-PLACE         	[NA]                	[21]
22	.              	O               	[NA]                	[22]


0	I              	B-SPATIAL_ENTITY	[NA]                	[0]
1	have           	O               	[NA]                	[1]
2	an             	O               	[NA]                	[2]
3	old            	O               	[NA]                	[3]
4	Garmin         	O               	[NA]                	[4]
5	but            	O               	[NA]                	[5]
6	I              	B-SPATIAL_ENTITY	[NA]                	[6]
7	got            	O               	[NA]                	[7]
8	an             	O               	[NA]                	[8]
9	accurate       	O               	[NA]                	[9]
10	position       	O               	[NA]                	[10]
11	.              	O               	[NA]                	[11]


0	There          	O               	[NA]                	[0]
1	was            	O               	[NA]                	[1]
2	a              	O               	[NA]                	[2]
3	dragon         	O               	[NA]                	[3]
4	snake          	O               	[NA]                	[4]
5	that           	O               	[NA]                	[5]
6	was            	O               	[NA]                	[6]
7	so             	O               	[NA]                	[7]
8	huge           	O               	[NA]                	[8]
9	that           	O               	[NA]                	[9]
10	it             	O               	[NA]                	[10]
11	could          	O               	[NA]                	[11]
12	drink          	O               	[NA]                	[12]
13	from           	O               	[NA]                	[13]
14	the            	O               	[NA]                	[14]
15	creek          	B-PATH          	[NA]                	[15]
16	while          	O               	[NA]                	[16]
17	coiling        	B-SPATIAL_SIGNAL	[NA]                	[17]
18	up             	I-SPATIAL_SIGNAL	[NA]                	[18]
19	its            	O               	[NA]                	[19]
20	tail           	B-SPATIAL_ENTITY	[trajector]         	[17]
21	to             	O               	[NA]                	[21]
22	the            	O               	[NA]                	[22]
23	tower          	B-PLACE         	[landmark]          	[17]
24	.              	O               	[NA]                	[24]


0	According      	O               	[NA]                	[0]
1	to             	O               	[NA]                	[1]
2	a              	O               	[NA]                	[2]
3	legend         	O               	[NA]                	[3]
4	,              	O               	[NA]                	[4]
5	the            	O               	[NA]                	[5]
6	Ika            	B-PLACE         	[NA]                	[6]
7	castle         	I-PLACE         	[NA]                	[7]
8	was            	O               	[NA]                	[8]
9	built          	O               	[NA]                	[9]
10	by             	O               	[NA]                	[10]
11	giants         	O               	[NA]                	[11]
12	.              	O               	[NA]                	[12]


0	After          	O               	[NA]                	[0]
1	a              	O               	[NA]                	[1]
2	short          	O               	[NA]                	[2]
3	discussion     	O               	[NA]                	[3]
4	and            	O               	[NA]                	[4]
5	a              	O               	[NA]                	[5]
6	few            	O               	[NA]                	[6]
7	cups           	O               	[NA]                	[7]
8	of             	O               	[NA]                	[8]
9	hot            	O               	[NA]                	[9]
10	tea            	O               	[NA]                	[10]
11	we             	B-SPATIAL_ENTITY	[mover]             	[12]
12	walked         	B-MOTION        	[NA]                	[12]
13	towards        	B-MOTION_SIGNAL 	[NA]                	[13]
14	the            	O               	[NA]                	[14]
15	target         	B-PLACE         	[trajector]         	[21]
16	that           	O               	[NA]                	[16]
17	seemed         	O               	[NA]                	[17]
18	to             	O               	[NA]                	[18]
19	be             	O               	[NA]                	[19]
20	located        	O               	[NA]                	[20]
21	on             	B-SPATIAL_SIGNAL	[NA]                	[21]
22	the            	O               	[NA]                	[22]
23	hill           	B-PLACE         	[landmark]          	[21]
24	.              	O               	[NA]                	[24]


0	This           	B-PLACE         	[NA]                	[0]
1	was            	O               	[NA]                	[1]
2	only           	O               	[NA]                	[2]
3	250            	B-MEASURE       	[NA]                	[3]
4	meters         	I-MEASURE       	[NA]                	[4]
5	from           	O               	[NA]                	[5]
6	the            	O               	[NA]                	[6]
7	confluence     	B-PLACE         	[NA]                	[7]
8	!              	O               	[NA]                	[8]


0	Today          	O               	[NA]                	[0]
1	this           	O               	[NA]                	[1]
2	land           	B-PLACE         	[trajector, trajector]	[6, 14]
3	is             	O               	[NA]                	[3]
4	300            	B-MEASURE       	[NA]                	[4]
5	km             	I-MEASURE       	[NA]                	[5]
6	far            	B-SPATIAL_SIGNAL	[NA]                	[6]
7	from           	I-SPATIAL_SIGNAL	[NA]                	[7]
8	the            	O               	[NA]                	[8]
9	Hungarian      	O               	[NA]                	[9]
10	state          	O               	[NA]                	[10]
11	border         	B-PATH          	[landmark]          	[6]
12	,              	O               	[NA]                	[12]
13	deeply         	O               	[NA]                	[13]
14	in             	B-SPATIAL_SIGNAL	[NA]                	[14]
15	the            	O               	[NA]                	[15]
16	heart          	B-PLACE         	[landmark, locatedIn]	[14, 18]
17	of             	O               	[NA]                	[17]
18	Romania        	B-PLACE         	[NA]                	[18]
19	.              	O               	[NA]                	[19]


0	We             	B-SPATIAL_ENTITY	[NA]                	[0]
1	chose          	O               	[NA]                	[1]
2	the            	O               	[NA]                	[2]
3	shortest       	O               	[NA]                	[3]
4	way            	B-PATH          	[trajector, trajector]	[8, 5]
5	to             	B-SPATIAL_SIGNAL	[NA]                	[5]
6	the            	O               	[NA]                	[6]
7	top            	B-PLACE         	[landmark]          	[5]
8	in             	B-SPATIAL_SIGNAL	[NA]                	[8]
9	the            	O               	[NA]                	[9]
10	deep           	O               	[NA]                	[10]
11	snow           	B-SPATIAL_ENTITY	[landmark]          	[8]
12	.              	O               	[NA]                	[12]


0	The            	O               	[NA]                	[0]
1	castle         	B-PLACE         	[trajector, trajector, trajector]	[7, 15, 5]
2	is             	O               	[NA]                	[2]
3	1              	B-MEASURE       	[NA]                	[3]
4	km             	I-MEASURE       	[NA]                	[4]
5	to             	B-SPATIAL_SIGNAL	[NA]                	[5]
6	SW             	I-SPATIAL_SIGNAL	[NA]                	[6]
7	on             	B-SPATIAL_SIGNAL	[NA]                	[7]
8	the            	O               	[NA]                	[8]
9	other          	O               	[NA]                	[9]
10	side           	B-PLACE         	[locatedIn, landmark]	[13, 7]
11	of             	O               	[NA]                	[11]
12	the            	O               	[NA]                	[12]
13	valley         	B-PLACE         	[NA]                	[13]
14	,              	O               	[NA]                	[14]
15	on             	B-SPATIAL_SIGNAL	[NA]                	[15]
16	the            	O               	[NA]                	[16]
17	top            	B-PLACE         	[landmark, locatedIn]	[15, 22]
18	of             	O               	[NA]                	[18]
19	a              	O               	[NA]                	[19]
20	30m            	B-MEASURE       	[NA]                	[20]
21	high           	O               	[NA]                	[21]
22	crag           	B-PLACE         	[NA]                	[22]
23	.              	O               	[NA]                	[23]


0	The            	O               	[NA]                	[0]
1	conquest       	O               	[NA]                	[1]
2	of             	O               	[NA]                	[2]
3	46°N           	B-PLACE         	[NA]                	[3]
4	26°E           	I-PLACE         	[NA]                	[4]
5	was            	O               	[NA]                	[5]
6	a              	O               	[NA]                	[6]
7	nice           	O               	[NA]                	[7]
8	Christmas      	O               	[NA]                	[8]
9	gift           	O               	[NA]                	[9]
10	for            	O               	[NA]                	[10]
11	us             	B-SPATIAL_ENTITY	[NA]                	[11]
12	and            	O               	[NA]                	[12]
13	remains        	O               	[NA]                	[13]
14	a              	O               	[NA]                	[14]
15	lovely         	O               	[NA]                	[15]
16	memory         	O               	[NA]                	[16]
17	.              	O               	[NA]                	[17]


0	It             	O               	[NA]                	[0]
1	is             	O               	[NA]                	[1]
2	interesting    	O               	[NA]                	[2]
3	to             	O               	[NA]                	[3]
4	know           	O               	[NA]                	[4]
5	,              	O               	[NA]                	[5]
6	that           	O               	[NA]                	[6]
7	this           	O               	[NA]                	[7]
8	county         	B-PLACE         	[NA]                	[8]
9	was            	O               	[NA]                	[9]
10	the            	O               	[NA]                	[10]
11	easternmost    	O               	[NA]                	[11]
12	corner         	B-PLACE         	[locatedIn]         	[14]
13	of             	O               	[NA]                	[13]
14	Hungary        	B-PLACE         	[NA]                	[14]
15	until          	O               	[NA]                	[15]
16	the            	O               	[NA]                	[16]
17	end            	O               	[NA]                	[17]
18	of             	O               	[NA]                	[18]
19	the            	O               	[NA]                	[19]
20	WWI            	O               	[NA]                	[20]
21	.              	O               	[NA]                	[21]


0	In             	B-SPATIAL_SIGNAL	[NA]                	[0]
1	this           	O               	[NA]                	[1]
2	region         	B-PLACE         	[landmark]          	[0]
3	fierce         	O               	[NA]                	[3]
4	battles        	B-NONMOTION_EVENT	[trajector]         	[0]
5	took           	O               	[NA]                	[5]
6	place          	O               	[NA]                	[6]
7	in             	O               	[NA]                	[7]
8	the            	O               	[NA]                	[8]
9	year           	O               	[NA]                	[9]
10	1917           	O               	[NA]                	[10]
11	(              	O               	[NA]                	[11]
12	Marasti        	B-NONMOTION_EVENT	[trajector]         	[0]
13	,              	O               	[NA]                	[13]
14	Marasesti      	B-NONMOTION_EVENT	[trajector]         	[0]
15	,              	O               	[NA]                	[15]
16	Oituz          	B-NONMOTION_EVENT	[trajector]         	[0]
17	)              	O               	[NA]                	[17]
18	between        	O               	[NA]                	[18]
19	the            	O               	[NA]                	[19]
20	Romanian       	O               	[NA]                	[20]
21	and            	O               	[NA]                	[21]
22	Russian        	O               	[NA]                	[22]
23	armies         	O               	[NA]                	[23]
24	,              	O               	[NA]                	[24]
25	on             	O               	[NA]                	[25]
26	one            	O               	[NA]                	[26]
27	side           	O               	[NA]                	[27]
28	and            	O               	[NA]                	[28]
29	the            	O               	[NA]                	[29]
30	German         	O               	[NA]                	[30]
31	and            	O               	[NA]                	[31]
32	Austro-Hungarian	O               	[NA]                	[32]
33	ones           	O               	[NA]                	[33]
34	,              	O               	[NA]                	[34]
35	on             	O               	[NA]                	[35]
36	the            	O               	[NA]                	[36]
37	other          	O               	[NA]                	[37]
38	.              	O               	[NA]                	[38]


0	The            	O               	[NA]                	[0]
1	return         	O               	[NA]                	[1]
2	journey        	B-MOTION        	[NA]                	[2]
3	was            	O               	[NA]                	[3]
4	easy           	O               	[NA]                	[4]
5	,              	O               	[NA]                	[5]
6	because        	O               	[NA]                	[6]
7	we             	B-SPATIAL_ENTITY	[mover]             	[2]
8	knew           	O               	[NA]                	[8]
9	already        	O               	[NA]                	[9]
10	the            	O               	[NA]                	[10]
11	area           	B-PLACE         	[NA]                	[11]
12	.              	O               	[NA]                	[12]


0	After          	O               	[NA]                	[0]
1	about          	B-MEASURE       	[NA]                	[1]
2	3              	I-MEASURE       	[NA]                	[2]
3	km             	I-MEASURE       	[NA]                	[3]
4	,              	O               	[NA]                	[4]
5	we             	B-SPATIAL_ENTITY	[mover]             	[6]
6	entered        	B-MOTION        	[NA]                	[6]
7	the            	O               	[NA]                	[7]
8	forest         	B-PLACE         	[NA]                	[8]
9	,              	O               	[NA]                	[9]
10	and            	O               	[NA]                	[10]
11	at             	B-MOTION_SIGNAL 	[NA]                	[11]
12	a              	O               	[NA]                	[12]
13	crossroad      	B-PLACE         	[NA]                	[13]
14	(              	O               	[NA]                	[14]
15	1              	B-MEASURE       	[NA]                	[15]
16	km             	I-MEASURE       	[NA]                	[16]
17	from           	O               	[NA]                	[17]
18	the            	O               	[NA]                	[18]
19	confluence     	B-PLACE         	[NA]                	[19]
20	)              	O               	[NA]                	[20]
21	we             	B-SPATIAL_ENTITY	[mover]             	[22]
22	took           	B-MOTION        	[NA]                	[22]
23	the            	O               	[NA]                	[23]
24	road           	B-PATH          	[NA]                	[24]
25	which          	O               	[NA]                	[25]
26	kept           	O               	[NA]                	[26]
27	us             	B-SPATIAL_ENTITY	[mover]             	[28]
28	going          	B-MOTION        	[NA]                	[28]
29	towards        	B-MOTION_SIGNAL 	[NA]                	[29]
30	North-East     	I-MOTION_SIGNAL 	[NA]                	[30]
31	.              	O               	[NA]                	[31]


0	Before         	O               	[NA]                	[0]
1	starting       	O               	[NA]                	[1]
2	our            	O               	[NA]                	[2]
3	trek           	B-MOTION        	[NA]                	[3]
4	,              	O               	[NA]                	[4]
5	we             	B-SPATIAL_ENTITY	[mover, mover]      	[3, 6]
6	visited        	B-MOTION        	[NA]                	[6]
7	the            	O               	[NA]                	[7]
8	impressing     	O               	[NA]                	[8]
9	mausoleum      	B-PLACE         	[trajector]         	[10]
10	at             	B-SPATIAL_SIGNAL	[NA]                	[10]
11	Marasti        	B-PLACE         	[landmark, trajector]	[10, 13]
12	,              	O               	[NA]                	[12]
13	at             	B-SPATIAL_SIGNAL	[NA]                	[13]
14	20             	B-MEASURE       	[NA]                	[14]
15	km             	I-MEASURE       	[NA]                	[15]
16	of             	O               	[NA]                	[16]
17	Panciu         	B-PLACE         	[NA]                	[17]
18	.              	O               	[NA]                	[18]


0	By             	O               	[NA]                	[0]
1	nightfall      	O               	[NA]                	[1]
2	we             	B-SPATIAL_ENTITY	[trajector]         	[5]
3	were           	O               	[NA]                	[3]
4	back           	O               	[NA]                	[4]
5	in             	B-SPATIAL_SIGNAL	[NA]                	[5]
6	Bucharest      	B-PLACE         	[landmark]          	[5]
7	.              	O               	[NA]                	[7]


0	We             	B-SPATIAL_ENTITY	[mover]             	[4]
1	were           	O               	[NA]                	[1]
2	surprised      	O               	[NA]                	[2]
3	to             	O               	[NA]                	[3]
4	meet           	B-MOTION        	[NA]                	[4]
5	a              	O               	[NA]                	[5]
6	deer           	B-SPATIAL_ENTITY	[mover]             	[9]
7	,              	O               	[NA]                	[7]
8	which          	O               	[NA]                	[8]
9	wandered       	B-MOTION        	[NA]                	[9]
10	away           	B-MOTION_SIGNAL 	[NA]                	[10]
11	quickly        	O               	[NA]                	[11]
12	as             	O               	[NA]                	[12]
13	it             	B-SPATIAL_ENTITY	[NA]                	[13]
14	saw            	O               	[NA]                	[14]
15	us             	B-SPATIAL_ENTITY	[NA]                	[15]
16	.              	O               	[NA]                	[16]


0	Luckily        	O               	[NA]                	[0]
1	,              	O               	[NA]                	[1]
2	this           	O               	[NA]                	[2]
3	cart           	O               	[NA]                	[3]
4	road           	B-PATH          	[NA]                	[4]
5	kept           	O               	[NA]                	[5]
6	us             	B-SPATIAL_ENTITY	[mover]             	[12]
7	on             	O               	[NA]                	[7]
8	the            	O               	[NA]                	[8]
9	right          	O               	[NA]                	[9]
10	heading        	O               	[NA]                	[10]
11	,              	O               	[NA]                	[11]
12	passing        	B-MOTION        	[NA]                	[12]
13	through        	B-MOTION_SIGNAL 	[NA]                	[13]
14	the            	O               	[NA]                	[14]
15	villagers      	O               	[NA]                	[15]
16	'              	O               	[NA]                	[16]
17	pastures       	B-PLACE         	[NA]                	[17]
18	,              	O               	[NA]                	[18]
19	cornfields     	B-PLACE         	[NA]                	[19]
20	and            	O               	[NA]                	[20]
21	vineyards      	B-PLACE         	[NA]                	[21]
22	.              	O               	[NA]                	[22]


0	Needless       	O               	[NA]                	[0]
1	to             	O               	[NA]                	[1]
2	say            	O               	[NA]                	[2]
3	that           	O               	[NA]                	[3]
4	,              	O               	[NA]                	[4]
5	because        	O               	[NA]                	[5]
6	of             	O               	[NA]                	[6]
7	the            	O               	[NA]                	[7]
8	treetop        	O               	[NA]                	[8]
9	cover          	O               	[NA]                	[9]
10	,              	O               	[NA]                	[10]
11	we             	B-SPATIAL_ENTITY	[NA]                	[11]
12	had            	O               	[NA]                	[12]
13	poor           	O               	[NA]                	[13]
14	satellite      	O               	[NA]                	[14]
15	coverage       	O               	[NA]                	[15]
16	,              	O               	[NA]                	[16]
17	but            	O               	[NA]                	[17]
18	we             	B-SPATIAL_ENTITY	[mover, mover]      	[21, 32]
19	managed        	O               	[NA]                	[19]
20	to             	O               	[NA]                	[20]
21	locate         	B-MOTION        	[NA]                	[21]
22	the            	O               	[NA]                	[22]
23	confluence     	B-PLACE         	[NA]                	[23]
24	with           	O               	[NA]                	[24]
25	a              	O               	[NA]                	[25]
26	10-15          	O               	[NA]                	[26]
27	m              	O               	[NA]                	[27]
28	error          	O               	[NA]                	[28]
29	,              	O               	[NA]                	[29]
30	after          	O               	[NA]                	[30]
31	some           	O               	[NA]                	[31]
32	wandering      	B-MOTION        	[NA]                	[32]
33	around         	B-MOTION_SIGNAL 	[NA]                	[33]
34	.              	O               	[NA]                	[34]


0	We             	B-SPATIAL_ENTITY	[mover, mover]      	[2, 13]
1	started        	O               	[NA]                	[1]
2	descending     	B-MOTION        	[NA]                	[2]
3	a              	O               	[NA]                	[3]
4	slope          	B-PATH          	[NA]                	[4]
5	towards        	B-MOTION_SIGNAL 	[NA]                	[5]
6	North-East-East	I-MOTION_SIGNAL 	[NA]                	[6]
7	and            	O               	[NA]                	[7]
8	,              	O               	[NA]                	[8]
9	after          	O               	[NA]                	[9]
10	an             	O               	[NA]                	[10]
11	hour           	O               	[NA]                	[11]
12	of             	O               	[NA]                	[12]
13	walking        	B-MOTION        	[NA]                	[13]
14	-              	O               	[NA]                	[14]
15	from           	B-MOTION_SIGNAL 	[NA]                	[15]
16	the            	O               	[NA]                	[16]
17	monument       	B-PLACE         	[NA]                	[17]
18	-              	O               	[NA]                	[18]
19	we             	B-SPATIAL_ENTITY	[mover]             	[20]
20	reached        	B-MOTION        	[NA]                	[20]
21	our            	O               	[NA]                	[21]
22	target         	B-PLACE         	[trajector]         	[25]
23	,              	O               	[NA]                	[23]
24	deep           	O               	[NA]                	[24]
25	into           	B-SPATIAL_SIGNAL	[NA]                	[25]
26	the            	O               	[NA]                	[26]
27	forest         	B-PLACE         	[landmark]          	[25]
28	.              	O               	[NA]                	[28]


0	It             	B-PLACE         	[NA]                	[0]
1	lays           	B-NONMOTION_EVENT	[trajector]         	[2]
2	about          	B-SPATIAL_SIGNAL	[NA]                	[2]
3	the            	O               	[NA]                	[3]
4	western        	O               	[NA]                	[4]
5	cliff          	B-PATH          	[locatedIn]         	[11]
6	of             	O               	[NA]                	[6]
7	a              	O               	[NA]                	[7]
8	15             	B-MEASURE       	[NA]                	[8]
9	m              	I-MEASURE       	[NA]                	[9]
10	deep           	O               	[NA]                	[10]
11	ravine         	B-PATH          	[NA]                	[11]
12	,              	O               	[NA]                	[12]
13	on             	B-SPATIAL_SIGNAL	[NA]                	[13]
14	the            	O               	[NA]                	[14]
15	bottom         	B-PATH          	[locatedIn, landmark]	[11, 13]
16	of             	O               	[NA]                	[16]
17	which          	O               	[NA]                	[17]
18	we             	B-SPATIAL_ENTITY	[NA]                	[18]
19	saw            	O               	[NA]                	[19]
20	a              	O               	[NA]                	[20]
21	dry            	O               	[NA]                	[21]
22	riverbed       	B-PATH          	[trajector]         	[13]
23	.              	O               	[NA]                	[23]


0	The            	O               	[NA]                	[0]
1	GPS            	O               	[NA]                	[1]
2	showed         	O               	[NA]                	[2]
3	that           	O               	[NA]                	[3]
4	we             	B-SPATIAL_ENTITY	[trajector]         	[6]
5	were           	O               	[NA]                	[5]
6	at             	B-SPATIAL_SIGNAL	[NA]                	[6]
7	185            	B-MEASURE       	[NA]                	[7]
8	km             	I-MEASURE       	[NA]                	[8]
9	from           	O               	[NA]                	[9]
10	the            	O               	[NA]                	[10]
11	confluence     	B-PLACE         	[locatedIn, locatedIn]	[15, 12]
12	North          	B-PATH          	[NA]                	[12]
13	46             	I-PATH          	[NA]                	[13]
14	with           	O               	[NA]                	[14]
15	East           	B-PATH          	[NA]                	[15]
16	27             	I-PATH          	[NA]                	[16]
17	.              	O               	[NA]                	[17]


0	We             	B-SPATIAL_ENTITY	[mover, mover]      	[1, 18]
1	drove          	B-MOTION        	[NA]                	[1]
2	through        	B-MOTION_SIGNAL 	[NA]                	[2]
3	the            	O               	[NA]                	[3]
4	cities         	B-PLACE         	[NA]                	[4]
5	of             	O               	[NA]                	[5]
6	Urziceni       	B-PLACE         	[NA]                	[6]
7	,              	O               	[NA]                	[7]
8	Buzau          	B-PLACE         	[NA]                	[8]
9	,              	O               	[NA]                	[9]
10	Ramnicu        	B-PLACE         	[NA]                	[10]
11	Sarat          	I-PLACE         	[NA]                	[11]
12	and            	O               	[NA]                	[12]
13	,              	O               	[NA]                	[13]
14	after          	O               	[NA]                	[14]
15	three          	O               	[NA]                	[15]
16	hours          	O               	[NA]                	[16]
17	of             	O               	[NA]                	[17]
18	driving        	B-MOTION        	[NA]                	[18]
19	and            	O               	[NA]                	[19]
20	200            	B-MEASURE       	[NA]                	[20]
21	km             	I-MEASURE       	[NA]                	[21]
22	,              	O               	[NA]                	[22]
23	we             	B-SPATIAL_ENTITY	[mover]             	[24]
24	reached        	B-MOTION        	[NA]                	[24]
25	Focsani        	B-PLACE         	[trajector, trajector]	[27, 35]
26	,              	O               	[NA]                	[26]
27	at             	B-SPATIAL_SIGNAL	[NA]                	[27]
28	35             	B-MEASURE       	[NA]                	[28]
29	km             	I-MEASURE       	[NA]                	[29]
30	from           	O               	[NA]                	[30]
31	the            	O               	[NA]                	[31]
32	confluence     	O               	[NA]                	[32]
33	point          	B-PLACE         	[NA]                	[33]
34	,              	O               	[NA]                	[34]
35	in             	B-SPATIAL_SIGNAL	[NA]                	[35]
36	the            	O               	[NA]                	[36]
